Checksum Id Operacao,Data do Inicio,Data da Deflagracao,Tipo de Operacao,Area,Sigla Unidade Federativa,Sigla Unidade Institucional,Atuacao em Territorio Indigena,Atuacao em Territorio de Fronteira,Qtd Prisao em Flagrante,Qtd Prisao Preventiva,Qtd Prisao Temporaria,Qtd Mandado de Busca e Apreesao,Qtd Valores Apreendidos,Qtd Valores Apreendidos i11,Qtd Valores Descapitalizados,Qtd Prejuizos Causados a Uniao,Proib Ausentar Comarca,Proib Acesso ou Freq,Comparecimento Juizo,Qtd Fianca,Qtd Internacao Prov,Proib Contato,Mand Jud Caut Assec,Recol Domic Noturno,Susp Ex Func Pub A E,Monit Eletronica,Id Operacao
28d97fe32c981d8f78111b37e796188a,17/05/2023,17/05/2023,Operacao Simples ,Tráfico de Drogas                                                                                                               ,SP,DPF/GRU/SP - AIN                                                ,Nao,                                                                                                                                ,1,0,0,0,"R$4.020,00",,,,0,0,0,0,0,0,0,0,0,0,
4bfe899a7387392f8ae6bcf50daf3b2a,17/05/2023,17/05/2023,Operacao de Apoio,Tráfico de Drogas                                                                                                               ,SE,SR/PF/SE                                                        ,Nao,                                                                                                                                ,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
7ea01be35ebfbead9a6fe36185912122,17/05/2023,17/05/2023,Operacao Simples ,Tráfico de Drogas                                                                                                               ,SP,DPF/CAS/SP                                                      ,Nao,                                                                                                                                ,2,0,0,0,"R$10.698,00",,,,0,0,0,0,0,0,0,0,0,0,
dd30a5c61a9e6ccfaef9dea604f67a4e,17/05/2023,17/05/2023,Operacao de Apoio,Crimes de Corrupção                                                                                                             ,MA,SR/PF/MA                                                        ,Nao,                                                                                                                                ,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
770576deaecccc98938228d5f98c67ea,17/05/2023,17/05/2023,Operacao Especial,Crimes Contra Direitos Humanos                                                                                                  ,PA,SR/PF/PA                                                        ,Nao,                                                                                                                                ,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
2f83438a1256c4cafb3d3131cf292e21,17/05/2023,17/05/2023,Operacao Especial,Crimes Contra Direitos Humanos                                                                                                  ,PA,SR/PF/PA                                                        ,Nao,                                                                                                                                ,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
494173d4abc57fd7091da79ea08a5b6a,17/05/2023,17/05/2023,Operacao Simples ,Tráfico de Drogas                                                                                                               ,MS,DPF/CRA/MS                                                      ,Nao,Bolívia                                                                                                                         ,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
28f0a0c2e509f3523f14ee18fdce10b0,17/05/2023,17/05/2023,Operacao de Apoio,Tráfico de Drogas                                                                                                               ,MA,SR/PF/MA                                                        ,Nao,                                                                                                                                ,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
339a118a5fc02b3b51c9d8f04da614df,17/05/2023,17/05/2023,Operacao Simples ,Crimes Contra o Patrimônio                                                                                                      ,CE,SR/PF/CE                                                        ,Nao,                                                                                                                                ,0,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
d7e34cf91ef8dc8a5f0ea64a5e250b64,17/05/2023,17/05/2023,Operacao Simples ,Crimes Contra o Patrimônio                                                                                                      ,CE,SR/PF/CE                                                        ,Nao,                                                                                                                                ,0,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
d2032fbeb21c6a1dcad733184cccb318,17/05/2023,17/05/2023,Operacao Simples ,Crimes Contra o Patrimônio                                                                                                      ,CE,SR/PF/CE                                                        ,Nao,                                                                                                                                ,0,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
563db975d8980d1e067e2a3b54c6ea88,17/05/2023,17/05/2023,Operacao Simples ,Tráfico de Drogas                                                                                                               ,ES,SR/PF/ES                                                        ,Nao,                                                                                                                                ,1,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
bb68d2d32620341c4cba58e3e2f602ef,17/05/2023,17/05/2023,Operacao de Apoio,Crimes Contra Direitos Humanos                                                                                                  ,MG,SR/PF/MG                                                        ,Nao,                                                                                                                                ,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
4e092eba044257f3e333265d078869c9,17/05/2023,17/05/2023,Operacao de Apoio,Tráfico de Drogas                                                                                                               ,RS,SR/PF/RS                                                        ,Nao,                                                                                                                                ,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
529473f2f09bc8aa6c8dda595adddcf8,18/05/2023,17/05/2023,Operacao Simples ,Crimes Contra o Patrimônio                                                                                                      ,BA,SR/PF/BA                                                        ,Nao,                                                                                                                                ,0,0,0,0,"R$3.150,00",,,,0,0,0,0,0,0,0,0,0,0,
87583f0946a1be4b454ca4a9920212f2,18/05/2023,17/05/2023,Operacao Simples ,Crimes Fazendários                                                                                                              ,CE,SR/PF/CE                                                        ,Nao,                                                                                                                                ,1,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
ba17a1846c1af279c92644ae9b18080f,22/05/2023,17/05/2023,Operacao Simples ,Crimes Fazendários                                                                                                              ,SC,DPF/CCM/SC                                                      ,Nao,                                                                                                                                ,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
39ac2cb26dfe0c61abf603193be69c86,25/05/2023,17/05/2023,Operacao Simples ,Crimes Fazendários                                                                                                              ,MS,DPF/NVI/MS                                                      ,Nao,                                                                                                                                ,0,0,0,0,"R$143.332,00",,,,0,0,0,0,0,0,0,0,0,0,
94896a9c2714cb787e9ca89ac3df6730,31/05/2023,17/05/2023,Operacao Comum   ,Crimes Fazendários                                                                                                              ,MG,DPF/IPN/MG                                                      ,Nao,                                                                                                                                ,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
5ce1f5bbd7130e1bf26966b6143a3976,28/09/2020,16/05/2023,Operacao Especial,Crimes Fazendários                                                                                                              ,MS,DPF/NVI/MS                                                      ,Nao,Paraguai                                                                                                                        ,2,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
